wdt_ID,Heat,Image,Pepper,Min SHU,Max SHU,Median SHU,JalRP,JalRP Times Hotter/Milder,Type,Origin,Use,Flavor,Link
101,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/01/Aji-Chombo.jpg,Aji Chombo,125000,325000,225000,42.86,15 to 130,Chinense,Panama,Culinary,"Sweet, Fruity, Tropical",http://www.pepperscale.com/aji-chombo
102,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2017/03/devils-tongue-pepper.jpg,Devil's Tongue Pepper,125000,325000,225000,42.86,15 to 130,Chinense,USA,Culinary,"Sweet, Fruity, Citrusy",https://www.pepperscale.com/devils-tongue-pepper
103,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2015/12/wiri-wiri-pepper.jpg,Wiri Wiri Pepper,100000,350000,225000,42.86,12 to 140,Chinense,South America,Culinary,"Fruity, Tangy",https://www.pepperscale.com/wiri-wiri-pepper
104,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2014/02/scotch-bonnet-pepper.jpg,Scotch Bonnet Pepper,100000,350000,225000,42.86,12 to 140,Chinense,Caribbean,Culinary,"Sweet, Fruity, Tropical, Earthy",https://www.pepperscale.com/scotch-bonnet-pepper
105,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2014/03/ghost-pepper-vs-habanero.jpg,Habanero Pepper,100000,350000,225000,42.86,12 to 140,Chinense,South America,Culinary,"Sweet, Fruity, Tropical Smoky",https://www.pepperscale.com/habanero-pepper
106,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2016/05/Peruvian-White-Habanero.jpg,Peruvian White Habanero,100000,350000,225000,42.86,12 to 140,Chinense,Peru,Culinary,"Sweet, Fruity",https://www.pepperscale.com/peruvian-white-habanero
107,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2019/11/goat-pepper.png,Goat Pepper,100000,350000,225000,42.86,12 to 140,Chinense,Caribbean,Culinary,"Sweet, Tropical",https://www.pepperscale.com/goat-pepper
108,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2015/01/fatalii-pepper_1.jpg,Fatalii Pepper,125000,400000,262500,50.00,14 to 160,Chinense,Africa,Culinary,"Sweet, Fruity, Citrusy",https://www.pepperscale.com/fatalii-pepper
138,Extra Hot,https://www.pepperscale.com/wp-content/uploads/2018/10/hot-paper-lantern.jpg,Hot Paper Lantern,150000,400000,275000,52.38,19 to 160,Chinense,Peru,Culinary,"Sweet, Smoky",https://www.pepperscale.com/hot-paper-lantern/
109,Super Hot,https://www.pepperscale.com/wp-content/uploads/2016/05/Caribbean-Red-Habanero.jpeg,Caribbean Red Habanero,300000,445000,372500,70.95,35 to 178,Chinense,Mexico,Culinary,"Sweet, Fruity, Tropical, Smoky",https://www.pepperscale.com/caribbean-red-habanero
110,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/10/roatan-pumpkin-habanero.jpg,Roatan Pumpkin Habanero,100000,500000,300000,57.14,12 to 200,Chinense,Caribbean,Culinary,"Sweet, Fruity, Citrusy",https://www.pepperscale.com/roatan-pumpkin-habanero
111,Super Hot,https://www.pepperscale.com/wp-content/uploads/2013/07/red-savina-habanero_1.jpg,Red Savina Habanero,350000,577000,463500,88.29,44 to 231,Chinense,USA,Culinary,"Sweet, Fruity",https://www.pepperscale.com/red-savina-habanero
112,Super Hot,https://www.pepperscale.com/wp-content/uploads/2014/01/chocolate-habanero-1.jpg,Chocolate Habanero,425000,577000,501000,95.43,53 to 231,Chinense,Jamaica,Culinary,"Sweet, Fruity, Earthy, Smoky",https://www.pepperscale.com/chocolate-habanero
113,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/7-Pot-Bubblegum.jpg,7 Pot Bubblegum,800000,1000000,900000,171.43,106 to 400,Chinense,United Kingdom,Culinary,"Sweet, Fruity",https://www.pepperscale.com/7-pot-bubblegum
116,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/08/7-Pot-Jonah.jpg,7 Pot Jonah,800000,1000000,900000,171.43,100 to 480,Chinense,Trinidad,Culinary,"Sweet, Fruity",https://www.pepperscale.com/7-pot-jonah
114,Super Hot,https://www.pepperscale.com/wp-content/uploads/2019/11/bhut-jolokia-chocolate.png,Bhut Jolokia Chocolate,800000,1001304,900652,171.55,100 to 400,Chinense,India,Culinary,"Sweet, Fruity, Earthy, Smoky",https://www.pepperscale.com/bhut-jolokia-chocolate
115,Super Hot,https://www.pepperscale.com/wp-content/uploads/2019/03/Ghost-Pepper.jpg,Ghost Pepper,855000,1041427,948214,180.61,107 to 417,Chinense,India,Culinary,"Sweet, Fruity, Earthy",https://www.pepperscale.com/ghost-pepper
117,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/05/trinidad-7-pot-pepper.jpg,Trinidad 7 Pot Pepper,1000000,1200000,1100000,209.52,125 to 480,Chinense,Trinidad,Culinary,"Sweet, Fruity, Nutty",https://www.pepperscale.com/7-pot-pepper
118,Super Hot,https://www.pepperscale.com/wp-content/uploads/2014/11/Infinity-Pepper_1.jpg,Infinity Pepper,1067286,1250000,1158643,220.69,133 to 500,Chinense,United Kingdom,Culinary,"Sweet, Fruity",https://www.pepperscale.com/infinity-pepper
119,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/7-Pot-Primo-Pepper.jpg,7 Pot Primo,800000,1268250,1034125,196.98,100 to 507,Chinense,USA,Culinary,"Sweet, Fruity, Citrusy, Floral",https://www.pepperscale.com/7-pot-primo
120,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/08/7-Pot-Barrackpore.jpg,7 Pot Barrackpore,1000000,1300000,1150000,219.05,125 to 520,Chinense,Trinidad,Culinary,"Sweet, Fruity, Bright, Bitter",https://www.pepperscale.com/7-pot-barrackpore
121,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/7-Pot-Brain-Strain.jpg,7 Pot Brain Strain,1000000,1350000,1175000,223.81,125 to 540,Chinense,Trinidad,Culinary,"Sweet, Fruity",https://www.pepperscale.com/7-pot-brain-strain
122,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/09/naga-viper.jpg,Naga Viper,900000,1382118,1141059,217.34,113 to 553,Chinense,India,Culinary,"Sweet, Fruity, Tangy",https://www.pepperscale.com/naga-viper
123,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/trinidad-scorpion-butch-t.jpg,"Trinidad Scorpion ""Butch-T""",800000,1463700,1131850,215.59,100 to 585,Chinense,Australia,Culinary,"Sweet, Fruity",https://www.pepperscale.com/trinidad-scorpion-butch-t
124,Super Hot,https://www.pepperscale.com/wp-content/uploads/2015/01/naga-morich-1.jpg,Naga Morich,1000000,1500000,1250000,238.10,125 to 600,Chinense,United Kingdom,Culinary,"Sweet, Fruity",https://www.pepperscale.com/naga-morich
125,Super Hot,https://www.pepperscale.com/wp-content/uploads/2015/02/Dorset-Naga.jpg,Dorset Naga,1000000,1598227,1299114,247.45,125 to 639,Chinense,United Kingdom,Culinary,"Sweet, Fruity, Floral",https://www.pepperscale.com/dorset-naga
126,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/7-pot-douglah.jpg,7 Pot Douglah,923889,1853986,1388938,264.56,109 to 742,Chinense,Trinidad,Culinary,"Sweet, Fruity, Earthy, Nutty",https://www.pepperscale.com/7-pot-douglah
127,Super Hot,https://www.pepperscale.com/wp-content/uploads/2013/07/51d9e77cb5b66.jpg,Trinidad Moruga Scorpion,1200000,2000000,1600000,304.76,150 to 800,Chinense,Trinidad,Culinary,"Sweet, Fruity",https://www.pepperscale.com/trinidad-moruga-scorpion
128,Super Hot,https://www.pepperscale.com/wp-content/uploads/2014/10/Trinidad-Scorpion-Chocolate-1.jpg,Trinidad Scorpion Chocolate,1200000,2000000,1600000,304.76,150 to 800,Chinense,Trinidad,Culinary,"Sweet, Fruity, Earthy, Smoky",https://www.pepperscale.com/trinidad-scorpion-chocolate
129,Super Hot,https://www.pepperscale.com/wp-content/uploads/2016/09/Carolina-Reaper-planting.jpg,Carolina Reaper,1400000,2200000,1800000,342.86,175 to 880,Chinense,USA,Culinary,"Sweet, Fruity",https://www.pepperscale.com/carolina-reaper
130,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/06/Komodo-Dragon-Pepper-4.jpg,Komodo Dragon Pepper,1400000,2200000,1800000,342.86,175 to 880,Chinense,United Kingdom,Culinary,"Sweet, Fruity",https://www.pepperscale.com/komodo-dragon-pepper/
131,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/07/dragons-breath-pepper.jpg,Dragon's Breath Pepper,2480000,2480000,2480000,472.38,310 to 992,Chinense,United Kingdom,Culinary,"Sweet, Fruity",https://www.pepperscale.com/dragons-breath-pepper
132,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/09/pepper-x.jpg,Pepper X,3180000,3180000,3180000,605.71,? - 1272,Chinense,USA,Culinary,"Sweet, Fruity",https://www.pepperscale.com/pepper-x
133,Super Hot,https://www.pepperscale.com/wp-content/uploads/2013/07/pepper-spray.jpg,Pepper Spray,2000000,5300000,3650000,695.24,"250 to 2,120",N/A,N/A,Culinary,N/A,https://www.pepperscale.com/pepper-spray
134,Super Hot,https://www.pepperscale.com/wp-content/uploads/2017/04/Capsaicin-To-Lose-Weight.jpeg,Capsaicin,15000000,16000000,15500000,"2,952.38","1,875 to 6,400",N/A,N/A,Culinary,N/A,https://www.pepperscale.com/capsaicin
